Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member)
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2023,8111419
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2015,61863
"7904 Zinc Bars, Rods, Profiles And Wire",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2025,5814
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2011,221556
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2010,17400
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2022,98569
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2012,16739
"7505 Nickel Bars, Rods, Profiles And Wire",Singapore,All Country Subcodes,All Rate Provisions,All Districts,September 2025,151373
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,April 2020,6939
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,November 2013,412910
7602 Aluminum Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2024,0
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Burma,All Country Subcodes,All Rate Provisions,All Districts,August 2015,5385
7411 Copper Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,December 2012,3314911
"7604 Aluminum Bars, Rods And Profiles",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2019,4509402
7907 Articles Of Zinc Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,September 2018,10557
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Philippines,All Country Subcodes,All Rate Provisions,All Districts,September 2010,8880
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2020,1309765
7608 Aluminum Tubes And Pipes,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,April 2017,455550
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,April 2016,4347
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2019,75247
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2011,11369415
7411 Copper Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2012,1437234
7408 Copper Wire,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,October 2016,591196
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,December 2011,369854
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2010,523249
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2018,42481
7907 Articles Of Zinc Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,May 2020,373569
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,All Country Subcodes,All Rate Provisions,All Districts,May 2017,809086
7609 Aluminum Tube Or Pipe Fittings,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,March 2017,4535
7616 Articles Of Aluminum Nesoi,Cambodia,All Country Subcodes,All Rate Provisions,All Districts,April 2019,985454
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2014,8008
7609 Aluminum Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,July 2011,8809
7616 Articles Of Aluminum Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2018,558124
7907 Articles Of Zinc Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,March 2015,166003
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,August 2022,2053594
7609 Aluminum Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,May 2024,3205
7608 Aluminum Tubes And Pipes,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,July 2016,408514
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,April 2018,319841
7616 Articles Of Aluminum Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2018,1081118
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,December 2015,604995
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2013,191977
7609 Aluminum Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2019,18400
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Burma,All Country Subcodes,All Rate Provisions,All Districts,May 2023,102111
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2020,24095029
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,July 2013,679848
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,October 2020,3850
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2019,43696
"7407 Copper Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2010,306774
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Philippines,All Country Subcodes,All Rate Provisions,All Districts,June 2018,524700
"7604 Aluminum Bars, Rods And Profiles",Philippines,All Country Subcodes,All Rate Provisions,All Districts,July 2011,3400
7609 Aluminum Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2017,224591
7411 Copper Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2015,2409230
7605 Aluminum Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,March 2025,164299
7412 Copper Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2025,7329575
"7604 Aluminum Bars, Rods And Profiles",Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2017,6000
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2018,2915314
7408 Copper Wire,Singapore,All Country Subcodes,All Rate Provisions,All Districts,December 2015,4199
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2018,169914
7412 Copper Tube Or Pipe Fittings,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2012,773493
7907 Articles Of Zinc Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,June 2019,13365
7411 Copper Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,March 2015,2682976
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2022,35868
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,All Country Subcodes,All Rate Provisions,All Districts,July 2019,991896
7408 Copper Wire,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,May 2015,2440
7419 Articles Of Copper Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,June 2012,29932
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,November 2015,209097
"7604 Aluminum Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2014,1292337
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2025,18343125
7609 Aluminum Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2013,15250
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2022,744687
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2021,343111
7419 Articles Of Copper Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2024,311920
7907 Articles Of Zinc Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,March 2025,644690
"7604 Aluminum Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,December 2018,1112760
7419 Articles Of Copper Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2024,688262
7412 Copper Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2022,1858857
7412 Copper Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2025,7016081
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2023,2020229
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,All Country Subcodes,All Rate Provisions,All Districts,February 2015,55886
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,May 2022,2167657
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,All Country Subcodes,All Rate Provisions,All Districts,December 2016,387922
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2014,29372
"7604 Aluminum Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2023,1902202
7616 Articles Of Aluminum Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,April 2019,47427
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2011,15520
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2011,6385
7616 Articles Of Aluminum Nesoi,Burma,All Country Subcodes,All Rate Provisions,All Districts,October 2019,252415
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2020,2014323
"7508 Articles Of Nickel, Nesoi",Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2018,63157
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2019,2402357
"7903 Zinc Dust, Powders And Flakes",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2015,63170
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2015,295017
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2018,92396
7907 Articles Of Zinc Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,April 2019,484017
7616 Articles Of Aluminum Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2018,1010817
7419 Articles Of Copper Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2018,153149
7616 Articles Of Aluminum Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2016,60892
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,May 2019,11234
7608 Aluminum Tubes And Pipes,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,March 2023,32305
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2022,181053
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2015,651673
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,February 2015,12460075
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2024,1887889
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2019,3600
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,March 2020,4227949
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2012,254148
7412 Copper Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,October 2019,910350
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2014,534490
7608 Aluminum Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2019,6191
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,November 2021,5461236
7419 Articles Of Copper Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,September 2017,54997
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2016,7959
7602 Aluminum Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,April 2017,7841
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,July 2016,909774
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,December 2014,4455
7907 Articles Of Zinc Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,February 2019,503295
"7508 Articles Of Nickel, Nesoi",Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2017,165284
7907 Articles Of Zinc Nesoi,Cambodia,All Country Subcodes,All Rate Provisions,All Districts,December 2020,5611
7613 Aluminum Containers For Compressed Or Liquefid Gas,Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2025,576228
7613 Aluminum Containers For Compressed Or Liquefid Gas,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2023,19882
7907 Articles Of Zinc Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2020,167208
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,April 2025,9915046
7907 Articles Of Zinc Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,May 2020,0
2504 Natural Graphite,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,September 2025,6211957
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Indonesia,All Country Subcodes,All Rate Provisions,All Districts,October 2015,11673
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,July 2020,274236
7411 Copper Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2025,23079206
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,December 2020,569408
7609 Aluminum Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2015,71087
7411 Copper Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2022,1662187
7616 Articles Of Aluminum Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,January 2014,73430
7609 Aluminum Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2021,29798
